Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 41, 'a': 33, 's': 31, 'd': 30}",1260,0.19,0.0,False,128
"{'w': 45, 'a': 43, 's': 22, 'd': 43}",1324,0.27,0.0,False,128
"{'w': 21, 'a': 41, 's': 30, 'd': 32}",1052,0.17,0.0,False,128
"{'w': 23, 'a': 21, 's': 19, 'd': 21}",580,0.12,0.0,False,64
"{'w': 31, 'a': 36, 's': 33, 'd': 38}",1208,0.2,0.0,False,128
"{'w': 30, 'a': 29, 's': 37, 'd': 24}",1056,0.2,0.0,False,128
"{'w': 26, 'a': 14, 's': 25, 'd': 28}",600,0.11,0.0,False,64
"{'w': 32, 'a': 17, 's': 20, 'd': 26}",664,0.12,0.0,False,64
"{'w': 36, 'a': 28, 's': 28, 'd': 27}",996,0.18,0.0,False,128
"{'w': 56, 'a': 55, 's': 43, 'd': 46}",2160,0.32,0.0,False,256
"{'w': 22, 'a': 15, 's': 22, 'd': 31}",704,0.17,0.0,False,64
"{'w': 35, 'a': 33, 's': 32, 'd': 37}",1280,0.28,0.0,False,128
"{'w': 25, 'a': 24, 's': 27, 'd': 29}",724,0.16,0.0,False,64
"{'w': 41, 'a': 32, 's': 39, 'd': 40}",1320,0.2,0.0,False,128
